ID,WS023_S167,WS026_S140,WS027_S171,WS028_S161,WS029_S141,WS031_S151,WS032_S170,WS034_S142,WS035_S152,WS036_S172,Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
6cdb7c4d0daf8e5dc04b99baf998763d,36,0,0,15,0,0,0,0,0,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA1280;f__UBA6156;g__JACKLD01;s__JACKLD01 sp024236095,Bacteria,Pseudomonadota,Alphaproteobacteria,UBA1280,UBA6156,JACKLD01,JACKLD01 sp024236095,0.9085379910435696
0e5b59486ddd49696c4bbf11913f4300,0,51,0,0,0,0,0,0,0,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,NA,NA,NA,0.8580064874795635
7fcf7a33f1131760261d0fa16badf064,0,16,0,0,0,0,35,0,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__Arenimonas maotaiensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Arenimonas maotaiensis,0.9830000988940372
76f362e6e1c9df80983fbecfd9c760d9,0,0,51,0,0,0,0,0,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA,NA,0.996670183949888
c95446ec1d379ba8142eeaca3e98f9b7,0,0,51,0,0,0,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA,0.7025817769978282
afd6bf8e736b5f34f6cea8719f1e852d,0,0,44,0,7,0,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA8524;g__SB11;s__SB11 sp008933805,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UBA8524,SB11,SB11 sp008933805,0.9123750993894127
4ef84d6011a230d8a59480ac6754c5b5,0,0,30,0,2,19,0,0,0,0,d__Bacteria,Bacteria,NA,NA,NA,NA,NA,NA,0.991855485264164
8424b4a156f438cd0cbc3d89514aff3a,0,0,25,0,16,10,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,NA,NA,0.9995462823013704
b029dce20795c69f0447a2a3af834d74,0,0,3,37,0,11,0,0,0,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__CAMASH01;s__CAMASH01 sp945860745,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,CAMASH01,CAMASH01 sp945860745,0.8946708736101003
998820c31e10b40a987aa8b4da7227f5,0,0,0,48,0,0,0,0,3,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,0.999237569432898
